"","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"552",552,0,2,"Sharp, Mr. Percival James R","male",27,0,0,"244358",26,"","S"
"758",758,0,2,"Bailey, Mr. Percy Andrew","male",18,0,0,"29108",11.5,"","S"
"260",260,1,2,"Parrish, Mrs. (Lutie Davis)","female",50,0,1,"230433",26,"","S"
"741",741,1,1,"Hawksford, Mr. Walter James","male",NA,0,0,"16988",30,"D45","S"
"500",500,0,3,"Svensson, Mr. Olof","male",24,0,0,"350035",7.7958,"","S"
"497",497,1,1,"Eustis, Miss. Elizabeth Mussey","female",54,1,0,"36947",78.2667,"D20","C"
"370",370,1,1,"Aubart, Mme. Leontine Pauline","female",24,0,0,"PC 17477",69.3,"B35","C"
"469",469,0,3,"Scanlan, Mr. James","male",NA,0,0,"36209",7.725,"","Q"
"243",243,0,2,"Coleridge, Mr. Reginald Charles","male",29,0,0,"W./C. 14263",10.5,"","S"
"349",349,1,3,"Coutts, Master. William Loch ""William""","male",3,1,1,"C.A. 37671",15.9,"","S"
"841",841,0,3,"Alhomaki, Mr. Ilmari Rudolf","male",20,0,0,"SOTON/O2 3101287",7.925,"","S"
"335",335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)","female",NA,1,0,"PC 17611",133.65,"","S"
"881",881,1,2,"Shelley, Mrs. William (Imanita Parrish Hall)","female",25,0,1,"230433",26,"","S"
"364",364,0,3,"Asim, Mr. Adola","male",35,0,0,"SOTON/O.Q. 3101310",7.05,"","S"
"522",522,0,3,"Vovk, Mr. Janko","male",22,0,0,"349252",7.8958,"","S"
"7",7,0,1,"McCarthy, Mr. Timothy J","male",54,0,0,"17463",51.8625,"E46","S"
"401",401,1,3,"Niskanen, Mr. Juha","male",39,0,0,"STON/O 2. 3101289",7.925,"","S"
"271",271,0,1,"Cairns, Mr. Alexander","male",NA,0,0,"113798",31,"","S"
"699",699,0,1,"Thayer, Mr. John Borland","male",49,1,1,"17421",110.8833,"C68","C"
"474",474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)","female",23,0,0,"SC/AH Basle 541",13.7917,"D","C"
"680",680,1,1,"Cardeza, Mr. Thomas Drake Martinez","male",36,0,1,"PC 17755",512.3292,"B51 B53 B55","C"
"470",470,1,3,"Baclini, Miss. Helene Barbara","female",0.75,2,1,"2666",19.2583,"","C"
"99",99,1,2,"Doling, Mrs. John T (Ada Julia Bone)","female",34,0,1,"231919",23,"","S"
"302",302,1,3,"McCoy, Mr. Bernard","male",NA,2,0,"367226",23.25,"","Q"
"473",473,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)","female",33,1,2,"C.A. 34651",27.75,"","S"
"592",592,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)","female",52,1,0,"36947",78.2667,"D20","C"
"458",458,1,1,"Kenyon, Mrs. Frederick R (Marion)","female",NA,1,0,"17464",51.8625,"D21","S"
"194",194,1,2,"Navratil, Master. Michel M","male",3,1,1,"230080",26,"F2","S"
"363",363,0,3,"Barbara, Mrs. (Catherine David)","female",45,0,1,"2691",14.4542,"","C"
"755",755,1,2,"Herman, Mrs. Samuel (Jane Laver)","female",48,1,2,"220845",65,"","S"
"366",366,0,3,"Adahl, Mr. Mauritz Nils Martin","male",30,0,0,"C 7076",7.25,"","S"
"759",759,0,3,"Theobald, Mr. Thomas Leonard","male",34,0,0,"363294",8.05,"","S"
"293",293,0,2,"Levy, Mr. Rene Jacques","male",36,0,0,"SC/Paris 2163",12.875,"D","C"
"160",160,0,3,"Sage, Master. Thomas Henry","male",NA,8,2,"CA. 2343",69.55,"","S"
"274",274,0,1,"Natsch, Mr. Charles H","male",37,0,1,"PC 17596",29.7,"C118","C"
"420",420,0,3,"Van Impe, Miss. Catharina","female",10,0,2,"345773",24.15,"","S"
"862",862,0,2,"Giles, Mr. Frederick Edward","male",21,1,0,"28134",11.5,"","S"
"604",604,0,3,"Torber, Mr. Ernst William","male",44,0,0,"364511",8.05,"","S"
"821",821,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","female",52,1,1,"12749",93.5,"B69","S"
"188",188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male",45,0,0,"111428",26.55,"","S"
"479",479,0,3,"Karlsson, Mr. Nils August","male",22,0,0,"350060",7.5208,"","S"
"399",399,0,2,"Pain, Dr. Alfred","male",23,0,0,"244278",10.5,"","S"
"197",197,0,3,"Mernagh, Mr. Robert","male",NA,0,0,"368703",7.75,"","Q"
"880",880,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)","female",56,0,1,"11767",83.1583,"C50","C"
"400",400,1,2,"Trout, Mrs. William H (Jessie L)","female",28,0,0,"240929",12.65,"","S"
"412",412,0,3,"Hart, Mr. Henry","male",NA,0,0,"394140",6.8583,"","Q"
"426",426,0,3,"Wiseman, Mr. Phillippe","male",NA,0,0,"A/4. 34244",7.25,"","S"
"222",222,0,2,"Bracken, Mr. James H","male",27,0,0,"220367",13,"","S"
"57",57,1,2,"Rugg, Miss. Emily","female",21,0,0,"C.A. 31026",10.5,"","S"
"593",593,0,3,"Elsbury, Mr. William James","male",47,0,0,"A/5 3902",7.25,"","S"
"259",259,1,1,"Ward, Miss. Anna","female",35,0,0,"PC 17755",512.3292,"","C"
"26",26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38,1,5,"347077",31.3875,"","S"
"471",471,0,3,"Keefe, Mr. Arthur","male",NA,0,0,"323592",7.25,"","S"
"136",136,0,2,"Richard, Mr. Emile","male",23,0,0,"SC/PARIS 2133",15.0458,"","C"
"270",270,1,1,"Bissette, Miss. Amelia","female",35,0,0,"PC 17760",135.6333,"C99","S"
"589",589,0,3,"Gilinski, Mr. Eliezer","male",22,0,0,"14973",8.05,"","S"
"275",275,1,3,"Healy, Miss. Hanora ""Nora""","female",NA,0,0,"370375",7.75,"","Q"
"871",871,0,3,"Balkic, Mr. Cerin","male",26,0,0,"349248",7.8958,"","S"
"557",557,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")","female",48,1,0,"11755",39.6,"A16","C"
"402",402,0,3,"Adams, Mr. John","male",26,0,0,"341826",8.05,"","S"
"494",494,0,1,"Artagaveytia, Mr. Ramon","male",71,0,0,"PC 17609",49.5042,"","C"
"284",284,1,3,"Dorking, Mr. Edward Arthur","male",19,0,0,"A/5. 10482",8.05,"","S"
"491",491,0,3,"Hagland, Mr. Konrad Mathias Reiersen","male",NA,1,0,"65304",19.9667,"","S"
"830",830,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)","female",62,0,0,"113572",80,"B28",""
"854",854,1,1,"Lines, Miss. Mary Conover","female",16,0,1,"PC 17592",39.4,"D28","S"
"773",773,0,2,"Mack, Mrs. (Mary)","female",57,0,0,"S.O./P.P. 3",10.5,"E77","S"
"763",763,1,3,"Barah, Mr. Hanna Assi","male",20,0,0,"2663",7.2292,"","C"
"835",835,0,3,"Allum, Mr. Owen George","male",18,0,0,"2223",8.3,"","S"
"331",331,1,3,"McCoy, Miss. Agnes","female",NA,2,0,"367226",23.25,"","Q"
"361",361,0,3,"Skoog, Mr. Wilhelm","male",40,1,4,"347088",27.9,"","S"
"219",219,1,1,"Bazzani, Miss. Albina","female",32,0,0,"11813",76.2917,"D15","C"
"568",568,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)","female",29,0,4,"349909",21.075,"","S"
"819",819,0,3,"Holm, Mr. John Fredrik Alexander","male",43,0,0,"C 7075",6.45,"","S"
"669",669,0,3,"Cook, Mr. Jacob","male",43,0,0,"A/5 3536",8.05,"","S"
"327",327,0,3,"Nysveen, Mr. Johan Hansen","male",61,0,0,"345364",6.2375,"","S"
"664",664,0,3,"Coleff, Mr. Peju","male",36,0,0,"349210",7.4958,"","S"
